11,10
3,2
2,2
11,4
3,2
8,8
2,2
2,2
2,1
4,3
3,3
2,2
4,3
9,7
1,1
3,3
40,45
1,0
7,7
7,6
3,2
3,2
3,3
3,3
3,2
2,1
3,2
36,35
4,3
3,2
8,7
9,8
4,3
11,10
1,0
2,2
1,0
2,2
3,2
3,3
2,1
2,2
4,3
4,3
3,2
9,12
0,0
2,1
1,1
8,7
2,2
3,2
2,2
2,2
1,1
1,1
0,0
3,2
3,3
13,12
4,3
3,2
3,2
2,1
1,1
2,1
17,13
2,1
8,7
3,3
1,2
0,0
3,3
16,18
1,0
23,19
2,2
39,36
3,0
18,16
3,2
3,1
3,2
36,32
2,1
2,2
4,3
2,1
2,1
3,3
1,1
28,28
33,35
2,1
9,10
3,2
3,3
2,2
2,4
2,1
1,1
3,3
4,2
2,1
4,4
21,20
3,2
0,0
3,3
2,1
2,1
2,2
40,35
2,1
2,1
9,9
3,3
2,2
3,3
0,0
5,3
2,1
8,8
12,8
45,38
3,2
4,3
3,2
3,2
1,1
2,1
2,1
2,1
3,3
9,8
2,1
2,2
11,9
2,2
3,1
1,1
1,1
8,7
2,1
18,22
2,1
33,43
3,2
3,2
2,1
1,1
2,2
18,16
3,2
1,1
18,22
3,2
5,4
9,8
3,2
4,3
1,1
4,3
2,1
2,2
4,3
2,1
7,6
2,1
3,3
1,0
17,16
3,3
1,0
1,2
2,1
3,2
0,0
3,2
3,2
1,2
10,7
3,2
9,7
1,1
3,3
17,15
4,3
3,2
1,2
4,3
2,1
41,44
4,4
30,41
6,6
36,38
14,17
1,0
3,1
1,1
2,2
10,8
1,0
22,14
9,9
1,1
7,11
11,9
1,0
1,1
9,9
0,0
1,1
1,1
3,2
9,9
3,2
4,3
3,2
35,36
1,1
4,3
8,6
3,2
8,6
0,0
1,2
3,2
7,7
3,3
10,8
2,2
16,18
4,3
4,3
16,15
3,3
2,2
1,0
2,1
2,1
32,34
1,1
10,10
10,8
2,2
1,0
2,1
1,1
23,21
2,1
12,14
0,0
3,2
3,2
4,2
2,0
3,3
36,35
3,2
9,8
3,2
1,0
3,2
0,0
0,0
3,2
10,9
4,3
8,8
4,7
4,2
1,1
3,2
2,1
1,2
2,1
1,2
3,2
4,3
1,1
50,39
16,3
2,1
3,2
40,34
4,2
3,2
3,3
2,1
0,0
3,2
10,8
8,8
2,2
1,2
0,0
3,2
2,1
3,2
1,1
34,36
35,30
3,2
2,2
2,1
3,2
12,18
2,2
2,1
4,3
8,8
2,0
0,1
33,37
3,3
1,1
3,1
15,18
2,1
19,15
13,20
3,2
2,2
4,3
10,8
1,1
1,0
8,9
2,1
8,7
6,7
1,1
4,3
2,1
24,20
3,2
2,2
10,8
36,37
4,3
8,9
4,3
4,3
3,2
4,3
4,2
2,1
19,18
2,2
3,2
3,1
4,3
3,3
4,3
1,1
1,0
1,2
1,0
37,36
3,2
1,0
3,2
40,32
1,2
0,0
0,0
6,4
9,10
1,1
1,1
3,2
2,1
1,0
4,3
3,2
3,2
1,2
2,1
2,1
3,0
41,39
3,2
1,0
3,2
21,22
3,2
12,18
3,2
9,8
20,6
2,1
2,2
3,1
9,8
10,9
3,2
2,2
20,3
2,2
2,2
41,41
2,2
2,2
3,1
38,41
1,0
4,3
2,2
31,32
3,2
1,1
7,7
2,1
22,19
4,3
5,3
3,3
23,20
37,38
8,7
0,0
4,3
1,1
2,2
11,9
2,2
10,9
3,1
4,3
2,2
2,2
1,0
2,1
2,1
2,2
8,8
2,2
3,3
10,7
2,2
3,2
2,1
3,2
4,4
1,1
18,17
1,1
4,3
3,3
8,9
15,19
11,8
0,0
4,2
7,8
29,27
4,3
4,3
1,0
10,8
2,1
3,2
16,17
2,2
3,3
6,5
30,31
18,20
41,40
2,0
6,6
1,0
1,1
0,0
19,22
4,3
3,2
1,0
2,2
1,1
2,2
3,3
8,8
3,3
11,9
3,3
1,1
0,1
3,2
3,3
8,8
3,3
2,2
3,3
8,8
13,12
4,3
3,3
4,3
3,2
2,2
3,3
4,3
2,2
40,39
13,15
8,7
3,2
1,0
2,1
42,41
2,2
2,1
10,8
1,1
0,0
10,9
2,1
2,1
24,20
13,11
6,7
3,2
3,2
4,3
2,2
3,3
2,1
3,4
4,3
10,8
4,3
2,2
1,1
2,1
3,2
3,2
1,1
1,1
10,9
20,18
18,21
1,0
2,2
16,17
3,2
3,2
4,3
3,1
3,3
2,1
1,1
0,1
15,17
0,0
3,3
23,18
23,20
4,3
8,8
0,0
2,1
2,1
1,1
3,1
3,3
3,2
2,2
3,2
3,3
8,8
9,8
13,12
4,3
4,3
3,2
20,15
8,10
2,1
4,3
3,3
2,2
5,3
4,3
24,26
3,3
1,0
1,1
8,9
0,0
4,3
18,15
2,2
1,1
4,3
1,2
2,2
4,3
3,2
46,30
2,1
10,9
3,3
18,12
1,1
3,2
2,0
4,3
3,2
2,2
2,4
3,3
11,9
3,3
1,1
1,0
12,8
4,3
1,1
4,3
20,14
19,15
2,2
2,1
3,2
3,2
3,3
2,1
20,19
3,2
4,3
4,3
4,3
2,2
3,2
38,34
10,9
1,0
12,13
1,1
5,4
8,8
2,1
1,1
3,2
21,13
3,2
24,19
2,1
1,0
2,2
2,2
2,2
6,6
15,16
8,8
8,8
8,7
3,2
3,3
11,8
9,8
1,1
1,1
4,3
3,3
3,3
4,4
4,3
34,33
18,18
2,1
14,16
7,7
3,2
8,8
1,0
8,7
1,1
2,2
4,3
3,2
2,1
20,18
3,3
3,2
3,2
30,28
2,2
2,3
2,1
1,1
9,6
4,4
2,1
9,8
2,2
4,3
1,0
14,20
2,1
4,3
3,2
2,1
1,0
16,19
0,0
3,2
0,3
2,1
1,2
2,1
1,1
4,3
3,3
24,27
4,2
4,4
4,3
4,3
3,3
1,1
0,0
4,3
3,1
3,1
2,1
4,3
12,11
4,2
32,30
1,1
1,1
28,29
9,7
2,1
4,3
9,7
3,2
3,2
3,3
3,2
4,2
9,9
18,15
7,8
1,1
20,22
2,1
2,1
2,2
10,8
4,3
2,1
5,4
3,2
32,14
6,7
3,3
9,9
4,4
4,3
16,14
0,0
3,1
1,0
2,2
16,11
3,2
2,2
8,8
9,8
8,7
16,11
4,3
2,1
2,2
1,0
8,8
4,11
4,3
4,3
3,2
1,1
2,1
16,13
18,16
4,2
2,1
40,36
2,0
19,20
4,3
10,7
3,2
4,3
4,3
1,2
8,6
3,2
3,3
3,2
3,2
3,2
4,3
2,2
3,3
9,8
10,8
1,0
2,2
3,3
1,1
3,2
7,8
3,2
2,1
4,4
10,5
0,0
3,2
4,3
8,7
8,9
22,19
1,0
1,2
2,2
3,3
8,8
17,17
40,37
2,2
1,2
3,3
2,1
3,3
2,1
2,2
34,40
8,8
2,2
4,3
23,27
10,11
1,0
4,2
4,3
10,7
0,0
2,1
15,13
3,2
40,37
4,3
3,1
2,1
1,1
4,2
3,1
11,9
9,9
16,19
1,0
1,0
2,1
16,17
9,7
42,42
9,9
10,8
20,22
30,29
1,0
